tweet,query,timestamp
"Free Stock trading discord:  https://t.co/ZBTRgq0AN6

$GE $AAL $DIS $DAL $AAPL $MSFT $TSLA $SQ $NFLX $SPY $ROKU $SPCE $INO $UVXY $VXX $OXY https://t.co/mMhpnbEMbX",AAPL,2023-03-08T23:59:42.000Z
This circus will end one day …. One day it will be over.  Cant fake stupid as Ron White said .. and only so much you can sweep under with fake data and hope from @federalreserve $spy $aapl $tsla $amzn $nflx $meta #daytrader https://t.co/jrdiUoaN5r,AAPL,2023-03-08T23:59:20.000Z
"STOCK TRADING ADVICE FROM OUR FREE TRADING DISCORD!
https://t.co/tXysTF24p2

$FSR $PLTR $AAPL $TSLA $M $GME $AMZN $EBAY $PTON $PENN $ZM $SPY $QQQ $UVXY https://t.co/x5jNfU5hQP",AAPL,2023-03-08T23:59:20.000Z
"20 days free trial available
Discord link below

https://t.co/ZBTRgq0AN6

$AAL $NAKD $DYNT $INO  $SHLO $NIO $HMHC $MDLY $JILL  $GRIL $JAGX $INO  $BYFC $TSLA $SPY $BOXL $AAPL $AYRO $ACHV $ABUS $TLRY $KODK https://t.co/Ts28Lnf7F3",AAPL,2023-03-08T23:59:14.000Z
"We are on the right side of the market most of the time. Join us https://t.co/tXysTF24p2

$SSPK $SUNW $SVVC $SZK $THBR $TWM $TZA $USDU $SUNW $AAPL $SQQQ $POLA $TSLA $NKLA $NETE $AMD $AAL $OGE $QQQ $TQQQ $CBAT $WKHS $SPI $PLUG $NAKD $SOLO https://t.co/hxuwnxIbbr",AAPL,2023-03-08T23:58:56.000Z
"Great community of real traders helping each other in profit join here 
https://t.co/tXysTF24p2

$CLSN $CHFS $MARK $SHLO $NIO $DLPN $WKHS $CARV $SPY $SOLO $W $JAGX $INO  $BYFC $TSLA $SPY $BOXL $AAPL $AYRO $BNGO $DKNG https://t.co/Hw50npzjss",AAPL,2023-03-08T23:58:36.000Z
"RT @TADAWUL_options: نرحب بكم اعزائي المتابعين بقناتنا بالتلقرام ..
حيث تجدون فيها الاحتراف باإقتناص الفرص سواء أسهم او عقود خيار "" أوبشن ""…",AAPL,2023-03-08T23:58:32.000Z
"RT @Brunelleschimo: @nikitabier Sounds familiar.  Back in 2000, I bought a Mac G4 Cube for $1800.  Had I bought $AAPL stock instead, I woul…",AAPL,2023-03-08T23:58:30.000Z
"RT @getdelta: gm ☕️ A quick look at what was trending on Delta last week 🔝

Phala Network | $PHA
LTO Network | $LTO
Quant | $QNT
Casper | $…",AAPL,2023-03-08T23:58:19.000Z
"Best trade I made in a long time. Easy play on $AMZN 
https://t.co/ZBTRgq0AN6

$FB $LOVE $WORK $AAPL $AMD $MNTA $GLD $TWR $SPY https://t.co/hL6BhOfHci",AAPL,2023-03-08T23:58:08.000Z
"It’s really amazing Place,
Lot of thanks to this community...👇 
https://t.co/tXysTF24p2

$TCEHY $RKT $FB $UBER $AYX $DDOG $BABA $BNGO $AAPL $SPAQ $KZIA $GRPN $RLFTF $ZSAN $CNDT $NIO $ADTX $ILMN $UPWK $EHTH $ABUS $DNLI $PLUG $TMUS https://t.co/NaZmMpsYjh",AAPL,2023-03-08T23:57:57.000Z
"A heap of $QQQ PUTS options bought today.  How will we end the week? 
$AAPL $TSLA $META $AMZN $GOOG $GOOGL $SQQQ $SPY $QQQ $TQQQ
$BTC $ADA $ETH $SHIB $DOGE $AMD",AAPL,2023-03-08T23:57:44.000Z
"@dampedspring With MSFT, AAPL, et al trading with lower earnings yields than cash yields, surprised there hasn't been more (any?) discussion on the simple math of repurchases.  That is, all else equal, they are dilutive.",AAPL,2023-03-08T23:57:35.000Z
"Get ahead of the trend here at Xtraders 

https://t.co/ZBTRgq0AN6

Congrats to all who played! 

See you tomorrow📈

$AMZN $AAPL $BA $BABA $FB $TSLA $MSFT $ROKU https://t.co/LvgEHEjzUU",AAPL,2023-03-08T23:57:06.000Z
